Episode,Reward
0,3.9500083718137002
1,-3.5800030871589072
2,3.1863478873930013
3,11.235847396085289
4,3.9520335786262852
5,24.4139131300119
6,20.329453528142075
7,21.303960544048227
8,21.870635912500557
9,34.43537901439211
10,28.47623047073101
11,40.40809644369747
12,48.58482394481442
13,45.37790895712492
14,49.52132457953826
15,68.37820522967174
16,47.275235210621105
17,79.14161688098254
18,52.27799108819952
19,62.06973101314185
20,80.45719122642164
21,82.36768132419962
22,79.015964049412
23,83.3260316902012
24,101.78585929358324
25,114.37645753578185
26,104.76950648133692
27,104.67774211043005
28,111.30331870921111
29,119.44413254285165
30,110.69337142186376
31,100.69794069617383
32,139.48879698855214
33,108.8333539783144
34,140.4513102796682
35,130.69651912790638
36,121.04136815132227
37,147.74097469458604
38,131.46130472722294
39,124.47670396517081
40,120.55300077962232
41,137.08273878374095
42,134.70993897525102
43,152.25138029373267
44,151.89217611207872
45,143.68090758365844
46,158.71721307959902
47,143.91268125220705
48,117.15355613095221
49,157.0324660345282
50,146.07465703150888
51,171.19124941858527
52,160.5869515158483
53,164.75646980384516
54,178.4601892171213
55,148.21665077026069
56,174.1853376725728
57,145.71590289581323
58,148.20949503952238
59,154.1453537048396
60,143.31848557340177
61,157.19412254276602
62,160.53353106059214
63,150.1424424306223
64,156.86543147708704
65,174.89389002939407
66,181.64277922076212
67,174.04744359093544
68,163.59278596934874
69,187.6108611766962
70,150.8047750675209
71,140.40387543565856
72,144.61603557820902
73,145.75168154950143
74,165.01306350699696
75,163.67761963249654
76,166.6641471143838
77,141.28137504524284
78,167.57636776965464
79,163.39163792826514
80,163.1930551491447
81,183.37397100873454
82,149.04988835984147
83,194.6336708406126
84,164.35073087009835
85,159.35900111849875
86,180.38751103374148
87,186.50467071337815
88,164.97204181789374
89,182.48447767436025
90,177.93080015631804
91,164.1247402921146
92,147.04425854646925
93,173.09116343634236
94,167.3580729775588
95,194.618751817093
96,157.3841994532736
97,149.0439927577872
98,148.23087222254387
99,169.132919223491
100,164.6085847019333
101,155.53491560583095
102,171.08209077138898
103,186.38648864471648
104,180.67403279312285
105,183.64001567701118
106,168.59716201237708
107,156.18464695589586
108,162.50344972716954
109,157.77992486444774
110,164.83570039481253
111,200.02447884577472
112,156.67310433678793
113,178.36927993353498
114,195.76492886381027
115,150.62975219432
116,176.5158331609777
117,152.18443595742838
118,145.76009740892238
119,179.30148262935683
120,186.71394208400935
121,163.0889595189796
122,171.46453982679174
123,166.6954928153828
124,178.5754234847558
125,178.1078707386291
126,167.61180888887475
127,162.61283339734652
128,173.4269877304607
129,187.17382154654578
130,161.9332865025407
131,176.08936961084865
132,196.535475051394
133,156.228458929941
134,194.47163179330929
135,157.2594692159176
136,175.1737061039963
137,168.30938012431218
138,167.0402730240722
139,182.0837567530484
140,184.76000004895317
141,200.6903668457449
142,145.39439006317014
143,185.5774185230985
144,152.7655578011443
145,181.98238390093059
146,147.98323443396393
147,169.42983704450987
148,172.3785156613001
149,158.0119010536777
150,165.52375315823085
151,178.55553145339684
152,145.80384187607382
153,180.76406448709017
154,176.1766335221723
155,165.3646394096572
156,174.82543803912952
157,165.02003921935147
158,163.08117372390015
159,179.31946196539292
160,166.28970887703954
161,177.4041113712651
162,199.86383494094363
163,179.26293619302433
164,177.48511964376698
165,162.58540309618536
166,163.61130536053486
167,159.15747053835136
168,193.83573935646362
169,189.45701720472877
170,165.11614653375622
171,161.14919393161085
172,161.91683732276297
173,175.25509691556292
174,159.46525696926506
175,160.79739300597137
176,176.39816864516823
177,144.74866412213404
178,187.42456465223884
179,179.94707355660577
180,159.08105273462397
181,173.17732473506783
182,174.93304402777005
183,190.88706073967333
184,164.42552850837518
185,178.52828117061915
186,165.76803810442183
187,172.05556268159057
188,184.5569618148446
189,177.52798652129994
190,167.2310250035173
191,180.08260489696147
192,172.42187758938704
193,189.71268831366572
194,165.1962097097466
195,185.62964635656425
196,164.84560140589633
197,164.69827886143128
198,185.1413689940561
199,172.23731374186923
200,195.60284481191218
201,154.3564927661976
202,176.77598222720053
203,159.47963593763424
204,191.48780458717255
205,171.33222631503776
206,172.93227471074795
207,179.10307986861963
208,191.02695752582568
209,187.41954663980323
210,194.76443169380985
211,167.9887448812878
212,192.21723907646157
213,167.78327639900505
214,186.74414016781458
215,156.6409935576597
216,176.13651192498554
217,172.2056305064015
218,202.49158578483625
219,162.5651285257617
220,172.08036021389532
221,183.40945713254993
222,183.23837216148505
223,179.77576356256003
224,221.87592029815207
225,169.7685416327615
226,189.23104912904245
227,199.42720035215532
228,174.2922010853826
229,193.3383710655967
230,189.1751309187183
231,166.258250664551
232,181.4095879074444
233,174.11027000672098
234,184.82489667614726
235,178.1064080892647
236,169.1669652002398
237,162.0874047409763
238,171.18839162674976
239,172.68679714276738
240,194.2529319598508
241,177.87157410819955
242,156.93230830649742
243,171.21138897522178
244,204.11602667148838
245,183.43434467404697
246,169.31354516887322
247,187.4544927084687
248,147.38372821285006
249,187.85856647217068
250,174.72930822242634
251,173.2076353303621
252,157.313879772282
253,171.3734955294183
254,179.46905724194724
255,173.03916062585517
256,154.14528619794586
257,171.54991354509016
258,181.76998471088865
259,153.16787638560828
260,195.42649430313375
261,156.70179476663233
262,199.906679316178
263,157.4653877441591
264,182.6394510001167
265,145.54423286500182
266,183.14233235397333
267,189.83118541449824
268,149.89235189156864
269,187.88340900907158
270,197.6347798115498
271,182.22174084387711
272,178.83359234876124
273,160.5277254677297
274,179.49320220761268
275,150.61487817539646
276,175.66223099178123
277,164.2079762921104
278,186.80764165253674
279,160.6086212287426
280,174.8662572075515
281,190.79657899974774
282,183.91438619551784
283,176.16517985253185
284,150.2180051470286
285,191.74039288129484
286,199.78935233483656
287,203.3068215360837
288,173.09696902920496
289,168.8025629877661
290,181.208574880149
291,180.3997522838081
292,178.79943386052275
293,163.77404197907248
294,170.7410684464517
295,187.7624816600636
296,199.96007726913516
297,151.780924751175
298,175.4804349269075
299,163.81663882903018
300,204.83321991070997
301,183.7912986259097
302,164.93198772760098
303,191.00290256935196
304,191.21172389402452
305,168.11493776800842
306,181.91492201177422
307,187.40350250138832
308,171.5061690779388
309,158.52342328993447
310,178.78444733011017
311,185.84089792941268
312,162.25018636411028
313,181.3633456852246
314,184.30194327254748
315,171.4250257916489
316,165.3938698946518
317,164.13090592174362
318,173.4408716482755
319,167.64945523329035
320,147.70040305144084
321,161.31584594998685
322,199.0149582543101
323,180.39858216431682
324,169.09340518834816
325,190.4813893128193
326,179.45409321383224
327,169.65472500989634
328,171.33188878056907
329,209.94076898969035
330,165.76121990815275
331,173.46728934603055
332,188.29268080359168
333,188.22096598012942
334,178.7426155582821
335,181.28575776200543
336,171.32797338073115
337,175.21040735189982
338,159.36854209281603
339,191.23181844606538
340,177.84463885759266
341,179.75094352795773
342,160.62020991217045
343,188.75296530749105
344,174.82233272201668
345,185.33018577588027
346,164.03398852461368
347,181.57594739594754
348,190.49374307437623
349,160.01111771214374
350,193.74059964086885
351,143.09600535389316
352,164.0848887225022
353,173.48432358555422
354,174.14229077665715
355,184.19859021821304
356,174.16859596292215
357,178.01207845639556
358,158.91401817718406
359,169.55148446705158
360,161.75488828465222
361,165.57991889383274
362,159.87203100871682
363,158.97274917474783
364,184.3838741392647
365,193.37466727213692
366,175.32449400234051
367,193.4061479869235
368,191.63238185129126
369,185.2577283765868
370,182.1345444394473
371,176.6379306294775
372,174.94571282149764
373,192.11309844169935
374,175.4041071323722
375,189.8942593555608
376,162.71058337949958
377,173.98637235438753
378,180.11158785667882
379,195.84910996031914
380,178.95247198865883
381,192.44894523811536
382,189.5019767959673
383,187.34391641650276
384,164.87505691387028
385,183.57156368674669
386,171.1525004615721
387,192.63260899371758
388,163.63198497232017
389,189.8095157016036
390,159.80157631393746
391,172.55754394353028
392,179.3529678869916
393,164.03504613261578
394,187.51830922536226
395,208.93961925304913
396,151.57793152166306
397,164.70962001958196
398,162.51425083017043
399,187.92627588660355
400,171.85405460374056
401,196.68837816574228
402,184.68776767263859
403,185.39492488698863
404,167.31556613679345
405,183.73963334989145
406,166.70318860127077
407,193.03400498396658
408,173.87667365204098
409,176.76961407688978
410,184.39082734932094
411,164.7609027565354
412,168.6904790418406
413,189.48237729448115
414,185.98527267285039
415,163.14629537407237
416,198.26239140276238
417,187.90199590715136
418,185.73158176613043
419,206.43779126830196
420,195.50493731367402
421,196.92354968127637
422,193.9374047384538
423,160.5415868832472
424,172.59766554071683
425,168.79961518673923
426,199.6161296454689
427,180.08872552199503
428,191.87072619083204
429,182.88319589115753
430,180.01442293427192
431,204.39701286558278
432,194.91134919691203
433,156.73388304346255
434,165.1068305824184
435,200.47835019476784
436,189.4992090133236
437,180.77569817511343
438,168.14713855632834
439,214.96652221573973
440,194.29249099958926
441,185.76619030032694
442,180.00735721272605
443,169.40965248327802
444,176.19670557191398
445,176.46495546538682
446,196.77800481834737
447,199.15805036676645
448,158.64099779655254
449,188.12830151730566
450,179.3129813035926
451,165.344162318553
452,166.91059228117462
453,174.68599129893602
454,164.30536623749705
455,184.9880608383455
456,196.96029593377574
457,177.86039046613453
458,164.66369282953224
459,197.34272248688052
460,174.62856543465014
461,174.2816475076591
462,192.32128970203033
463,182.4057196316494
464,183.15900655673005
465,174.38077012998482
466,160.66964746069448
467,176.6417785224211
468,159.5498881117315
469,189.8165139162558
470,188.88037331829864
471,176.15887920911547
472,180.5514852786647
473,182.21890555433967
474,171.36969264107
475,166.43840406167703
476,197.9277372281355
477,179.32938547877433
478,164.39269765571404
479,198.8615600894072
480,185.99960663662316
481,164.72944454404663
482,151.32127031161772
483,175.51171312101246
484,173.13033993701669
485,192.01219813783783
486,182.8500500063253
487,165.82960439152367
488,177.1778057611101
489,191.88253989723873
490,162.1648576504082
491,193.56341654706804
492,195.47478423446438
493,190.55242906734475
494,191.80261173503584
495,186.8700855292579
496,197.05813592512027
497,171.01978190845531
498,178.3215525596526
499,198.5918250442719
500,194.4579503961759
501,188.60661036183646
502,200.41601882953634
503,177.8942339222027
504,189.3339521374187
505,179.15224738956923
506,179.68021880560366
507,179.42886813786683
508,181.60976834971777
509,220.18025963859094
510,171.63846008739486
511,167.00782471047577
512,192.50256821405316
513,193.25403245300265
514,172.59861063722983
515,201.63377568592955
516,177.99182638827025
517,186.33432831814378
518,165.005165200428
519,181.89111458057758
520,183.96238359697503
521,178.71194492622075
522,180.62545033191898
523,190.92995011950399
524,180.8857344119293
525,201.77549515821332
526,169.66275833025236
527,184.47604355153416
528,179.6987832013855
529,152.1195168279373
530,177.10505583194308
531,165.1469521796053
532,165.85662965132224
533,181.8484052191305
534,170.64777391928544
535,164.4568067024808
536,182.68247539373485
537,168.0778089764449
538,154.49092149395608
539,169.5420109996275
540,167.5915343184515
541,186.16756378827776
542,175.65408515993562
543,189.22441095115738
544,182.82189963163057
545,170.73008732506761
546,179.95857223084076
547,198.61941286151875
548,177.47299090518956
549,160.51154631552785
550,181.50508765980587
551,161.13893288376045
552,167.69497738197728
553,165.62674617579893
554,161.17124618356982
555,178.62279082187172
556,177.60294167566255
557,167.54337940090804
558,164.68948046294608
559,191.63843496943093
560,181.91597961977615
561,198.04609931518067
562,164.26222933238913
563,181.6759926124882
564,182.6145859609179
565,162.90759099776534
566,193.90281870655497
567,182.40634969599125
568,170.6105776208285
569,197.40820417382014
570,188.87173243589842
571,180.51539159280512
572,178.9348976939852
573,188.8787756551468
574,189.194302876544
575,172.51294438905836
576,171.2387067648929
577,173.36152854581957
578,175.31389542002086
579,170.32675613719732
580,162.74863476527727
581,203.4620423871168
582,158.78469747105288
583,198.35717108158994
584,169.80855071845892
585,194.34579894335553
586,190.48537221955124
587,174.62381744979027
588,193.0844326335988
589,174.8124542132317
590,176.1575740758362
591,183.23326413985754
592,161.9812388994025
593,175.4439812042815
594,187.74603248028566
595,169.6713542080568
596,183.13636924502563
597,171.5369972260856
598,176.3363098281934
599,165.8587223650285
600,210.1363139585916
601,205.12667237785047
602,190.16284678350172
603,158.45101089523672
604,190.81525590701904
605,175.0311990512856
606,158.5716007097759
607,189.66572601791174
608,169.89991004800328
609,170.6155056240724
610,174.73639644627087
611,176.32964914800965
612,184.62964423711801
613,143.65259969287843
614,171.65709199007023
615,186.6530733681425
616,171.1733600917415
617,189.8263024158501
618,166.91376510518126
619,179.24378673749703
620,144.89274633569892
621,191.16822695215015
622,186.2158537196086
623,212.99016789195787
624,158.91674095523203
625,191.21003622168095
626,160.81561986728443
627,171.14354454700063
628,172.66193210356855
629,186.6575513254282
630,200.8362267408453
631,205.08304042218828
632,179.42308504730195
633,188.25872483603413
634,175.38178485283794
635,172.4823187615933
636,180.27589963607124
637,175.36076770658323
638,173.9434829745569
639,195.34847883625483
640,183.1769408881702
641,168.95224827351282
642,182.4678034716035
643,193.07466663630296
644,190.99522928576175
645,173.35090746120196
646,182.05630394958914
647,175.75932840729476
648,178.23563878620428
649,177.35309866188578
650,169.70848299962034
651,177.02199985032982
652,205.28036307262605
653,199.98444725778018
654,191.62342593672014
655,174.63209829542402
656,185.74371050470722
657,174.15878496103048
658,164.40518643105793
659,191.46341209623014
660,181.20447946192786
661,187.766689589774
662,172.1556529027271
663,170.83683822638753
664,191.73740007567216
665,176.53415003148262
666,171.0183642636864
667,181.4877158858137
668,187.7849839579806
669,178.9247266553267
670,205.32608774199414
671,189.2216431685131
672,203.43863999728345
673,165.16187120312446
674,182.98603139263918
675,177.8047647856829
676,173.50063775154447
677,166.3969548289135
678,178.0870786153538
679,182.114877431068
680,183.7043047421611
681,167.74439242820338
682,189.02193527449657
683,163.3018087549797
684,182.82288973273913
685,186.4033878704523
686,181.51548372144381
687,189.33026176055978
688,184.47032796786303
689,159.28787135478245
690,196.03574401924584
691,194.7880591066228
692,185.70109115245214
693,170.61323289198302
694,173.91816788940002
695,174.8973553832735
696,185.93038956822969
697,169.2146025649307
698,189.38820517769722
699,155.34299350689403
700,175.13599225268703
701,186.85368135407617
702,190.04655490786507
703,167.38125034441342
704,173.81299214893508
705,186.63943697560495
706,188.9688073491137
707,164.6511140449965
708,178.43055369076416
709,201.54882951129184
710,185.6308389783541
711,185.05012217600154
712,184.1570284739598
713,183.34366041343986
714,185.2062206166541
715,167.50577806108822
716,172.7302040754503
717,193.88654954516056
718,184.24937790461294
719,162.50322470419115
720,157.46599530620344
721,156.34081290344253
722,194.55171747159724
723,193.2364131537331
724,187.01351517618286
725,157.59353833079825
726,192.44100192695123
727,180.69658009563594
728,163.5547345835699
729,187.76401181632164
730,180.23321277692204
731,165.04348661378145
732,182.17590366301985
733,176.03756932104247
734,169.97491020696216
735,180.33710588640662
736,171.60936461618752
737,173.86348730546064
738,174.38482054361032
739,205.50500351273467
740,194.54829712231373
741,187.72971831429624
742,173.38457089888644
743,188.05372890200766
744,190.06399418875088
745,174.03245706052257
746,193.7129668190264
747,186.65674124270342
748,173.51884211055918
749,217.43315660654451
750,161.97277803538526
751,193.54543721103178
752,168.63471834760082
753,176.2339693772654
754,201.7475022996036
755,184.56276740770758
756,197.94902440196566
757,203.37295578966294
758,189.74704932258553
759,170.17000512990495
760,192.03107756579087
761,182.36872585387326
762,170.2384121155738
763,192.63782952683437
764,189.57411916309024
765,185.501810802096
766,181.0293665795354
767,172.87703156936064
768,183.01098644103
769,186.94213788718912
770,176.2733709009184
771,184.1577035428977
772,181.91834236105748
773,192.2275676312051
774,164.74902154323505
775,193.0260391705043
776,181.39172108289836
777,175.89105685930292
778,162.32163115999788
779,185.0121607994147
780,191.58267427519235
781,163.3855623078279
782,202.18391186541223
783,208.05856428039408
784,179.26127102297855
785,168.90998895802383
786,183.58733779758649
787,200.5639714383435
788,187.14396099721006
789,171.22597046427157
790,183.641793358547
791,178.8083222682005
792,188.1902728457696
793,169.38746521753166
794,174.92471817754077
795,194.3801374499778
796,196.59636626955913
797,164.89371131884417
798,187.3104554995004
799,168.1893753695186
800,196.75840531686143
801,192.62054776203303
802,173.87408588778064
803,185.81114989156575
804,191.7897629229253
805,181.593296667642
806,195.84393443179832
807,176.73644568975953
808,173.53749651553278
809,166.54823777781164
810,188.21945832616896
811,179.64363006918978
812,179.89914366204135
813,165.9204461682159
814,187.2892808371599
815,199.0983967749874
816,176.10077827589228
817,187.15197181526793
818,194.23130725155244
819,173.2663888302245
820,208.11504504816696
821,181.60126248110478
822,186.0753718737111
823,168.88163606264797
824,188.97348782708127
825,186.83070650790245
826,172.88132950826298
827,170.0595188471307
828,163.2800265305953
829,184.2340763420289
830,204.1638215522652
831,167.11216786591825
832,192.87743399505786
833,193.9564191801944
834,182.79451433506543
835,160.58008831498364
836,190.86255573724122
837,197.85122941521675
838,160.54190191541764
839,191.66348002701346
840,168.62429978366538
841,154.73588150908435
842,169.92299740566605
843,171.97948241233192
844,173.51229394186498
845,164.43927741240284
846,176.7443664986263
847,198.98872057493804
848,177.61113251210475
849,197.47440593429297
850,177.1654970041494
851,196.89832460531122
852,184.19021936338802
853,192.43038084233405
854,164.46589763083935
855,190.6774293322756
856,171.89514379973744
857,143.91675416813007
858,186.725103223776
859,186.29434173474445
860,162.1891376298608
861,211.9486940374492
862,166.9888777756295
863,172.39089192515476
864,185.35590590240008
865,171.04030400415627
866,194.9420873358672
867,185.58412420787775
868,180.38926621297895
869,179.5703175825751
870,185.77611381370818
871,200.88465168596366
872,167.27524201892493
873,187.44922717075642
874,177.5211458227331
875,170.18944711530585
876,183.17298048373706
877,188.7853461141942
878,147.3629810941705
879,174.12181368555215
880,199.97609890525348
881,178.34704766319317
882,191.42227789563734
883,187.0866026398182
884,193.14849667576968
885,173.16827881130533
886,179.8651201875901
887,161.27516179535218
888,175.61803647867168
889,181.42178415291588
890,184.17980079945258
891,172.13936123903434
892,175.73932386444613
893,186.74024727027503
894,184.4814441030343
895,193.61683700232354
896,181.84363473197266
897,157.18647176147428
898,188.5177487873608
899,175.88358609639437
900,141.74724011902586
901,179.87857656174495
902,165.04629940102097
903,186.07948979422986
904,180.51032857577474
905,170.62439403174977
906,190.2910198724391
907,168.35175195129062
908,209.78725831329783
909,171.05090258647533
910,169.2587520734444
911,179.14772442768776
912,171.21548439344267
913,169.50695241947264
914,173.0243766161238
915,193.36562134837416
916,168.4869007525818
917,185.65266620733362
918,163.05387843652628
919,186.89564813969173
920,177.9813853220363
921,176.4611750793363
922,192.38632134301193
923,178.81145008761092
924,179.97504391291653
925,170.6356901853042
926,169.6346304578556
927,188.59344651755467
928,161.3138657477703
929,177.98869856885943
930,173.14357128819162
931,173.83553945144786
932,162.8729599612706
933,179.58937702891106
934,189.3249512182516
935,166.73001134038796
936,188.22402629264656
937,199.5370790728856
938,156.5621680080558
939,178.38896944421307
940,178.98512282293672
941,169.2479734727419
942,185.9995841343255
943,166.38610872131676
944,196.88525077022118
945,177.50539421419074
946,205.98594512612158
947,174.30473486532279
948,181.45522256762115
949,188.6345582158499
950,175.30797731566886
951,184.86805608355195
952,167.92650352524834
953,178.5249508305271
954,190.00609577620943
955,185.8115774352261
956,172.42021241934083
957,187.8008930826084
958,171.09347693413443
959,242.4066343788668
960,184.95903287403195
961,157.9384310509779
962,178.41511711439296
963,185.67111809162571
964,191.7033991035188
965,170.8369507378774
966,194.65871589819383
967,178.22533273375845
968,175.022085620629
969,183.6279769476254
970,155.9106589764549
971,186.4889641094316
972,183.32169817067216
973,176.85260255160853
974,191.5434752722199
975,199.906341781709
976,177.61855827041705
977,155.5637635517612
978,185.8923381824517
979,199.0443012507939
980,181.08121187393712
981,198.89794630513973
982,180.42704757118187
983,205.01868385014487
984,188.15825207583313
985,173.6777533384515
986,179.55053806270598
987,184.86461323197088
988,192.11948909430797
989,204.7413655306112
990,175.33254982499471
991,177.03309348320332
992,173.6132617526203
993,182.35812727155403
994,183.4988587621755
995,168.33908315756264
996,180.56017116566093
997,147.27290439560733
998,175.3482789312387
999,188.70665557837657
1000,169.5715790190919
1001,179.58060113272353
1002,180.7596990412941
1003,175.06596510156797
1004,184.02352234041652
1005,213.08596017419228
1006,164.77937714312557
1007,189.56640087490473
1008,189.91487146045233
1009,194.02433111530877
1010,176.80435762487377
1011,198.39371481340766
1012,178.6281238664785
1013,188.95546348644828
1014,172.68690965425736
1015,182.20378401013937
1016,163.02840583528368
1017,174.4173813686961
1018,186.79542290476795
1019,173.8898825009177
1020,178.17981058507135
1021,191.37194025519625
1022,192.1311452846293
1023,168.41115801779213
1024,168.35004177664896
1025,205.52138518561827
1026,206.60174301092758
1027,186.01558326814452
1028,169.39941393772577
1029,194.1644304221417
1030,179.7716681443397
1031,173.6704625939268
1032,174.83650916970547
1033,163.06938251979116
1034,178.9186510348889
1035,186.50532328001736
1036,200.15530720586608
1037,188.42299161083102
1038,207.4082028659876
1039,193.65518091797472
1040,192.13146031679983
1041,170.83267530127296
1042,154.90604388593536
1043,185.2206895942145
1044,197.36713748012113
